Pos,Name,Salary,TeamAbbrev,AvgPointsPerGame,Projected Points
WR,Damion Ratley,3200,NYG,2.58,4.0
WR,Cedrick Wilson,3100,DAL,9.28,5.5
DST,Cowboys ,3100,DAL,0.25,6.8
WR,DaeSean Hamilton,3000,DEN,1.55,4.4
WR,Damiere Byrd,3000,NE,7.98,8.3
WR,Jakobi Meyers,3000,NE,0.57,2.3
WR,Matthew Slater,3000,NE,0.0,0.6
WR,Gunner Olszewski,3000,NE,2.1,1.9
WR,Diontae Spencer,3000,DEN,0.42,1.4
WR,Tyrie Cleveland,3000,DEN,0.57,1.5
TE,Nick Vannett,3000,DEN,0.7,4.3
WR,Chris Hogan,3000,NYJ,5.2,6.4
WR,KeeSean Johnson,3000,ARI,4.4,1.8
WR,Trent Sherfield,3000,ARI,0.0,0.3
WR,Josh Malone,3000,NYJ,1.7,1.2
WR,Jeff Smith,3000,NYJ,15.1,7.8
TE,Ryan Griffin,3000,NYJ,1.0,3.0
WR,Seth Roberts,3000,CAR,1.78,3.1
WR,Pharoh Cooper,3000,CAR,0.0,0.6
WR,Brandon Zylstra,3000,CAR,0.0,0.7
WR,Keith Kirkwood,3000,CAR,0.0,0.3
WR,Olamide Zaccheaus,3000,ATL,6.68,9.3
WR,Brandon Powell,3000,ATL,1.42,1.1
WR,Christian Blake,3000,ATL,1.92,3.3
DST,Falcons ,3000,ATL,1.75,5.8
WR,Isaiah Wright,3000,WAS,4.63,6.7
WR,Antonio Gandy-Golden,3000,WAS,1.17,2.4
WR,Cam Sims,3000,WAS,0.92,1.3
WR,Nsimba Webster,3000,LAR,0.0,0.2
WR,Nick Westbrook-Ikhine,3000,TEN,0.0,3.2
WR,Isaiah McKenzie,3000,BUF,4.32,3.2
WR,Andre Roberts,3000,BUF,0.32,0.4
TE,Tyler Kroft,3000,BUF,5.15,2.7
WR,John Hightower,3000,PHI,2.22,6.1
WR,JJ Arcega-Whiteside,3000,PHI,0.0,0.4
WR,Deontay Burnett,3000,PHI,2.45,3.3
WR,Travis Fulgham,3000,PHI,13.7,5.5
WR,Devin Duvernay,3000,BAL,3.8,4.1
WR,Chris Moore,3000,BAL,0.0,0.6
WR,James Proche,3000,BAL,0.0,0.4
WR,DeAndrew White,3000,BAL,0.0,0.0
WR,Mike Thomas,3000,CIN,5.3,3.2
WR,Auden Tate,3000,CIN,2.47,3.5
WR,Alex Erickson,3000,CIN,0.65,1.7
WR,Dede Westbrook,3000,JAX,1.4,2.9
WR,Collin Johnson,3000,JAX,0.92,1.9
WR,DeAndre Carter,3000,HOU,0.2,0.5
WR,Keke Coutee,3000,HOU,2.1,0.2
TE,James O'Shaughnessy,3000,JAX,4.62,4.2
WR,Zay Jones,3000,LV,5.48,5.1
WR,Keelan Doss,3000,LV,0.0,0.6
WR,Rico Gafford,3000,LV,0.0,0.3
WR,Byron Pringle,3000,KC,0.0,0.3
WR,Marcus Kemp,3000,KC,0.0,0.1
WR,Dante Pettis,3000,SF,0.0,0.7
WR,Jakeem Grant,3000,MIA,4.78,4.7
WR,Mack Hollins,3000,MIA,0.0,0.2
