Pos,DK salary,DK points
QB,7800.0,9.32
QB,7900.0,33.78
QB,8000.0,25.25333333333333
QB,8100.0,24.04
QB,8300.0,17.18
RB,0.0,6.351470588235294
RB,3000.0,1.431988472622478
RB,3100.0,3.541176470588235
RB,3200.0,3.31588785046729
RB,3300.0,3.2805084745762705
RB,3400.0,4.734513274336282
RB,3500.0,5.266285714285713
RB,3600.0,5.685416666666665
RB,3700.0,5.656666666666668
RB,3800.0,6.873295454545453
RB,3900.0,6.719075144508666
RB,4000.0,6.3134883720930235
RB,4100.0,7.4961739130434815
RB,4200.0,7.784566929133858
RB,4300.0,7.645871559633025
RB,4400.0,9.209401709401709
RB,4500.0,9.070344827586212
RB,4600.0,10.090697674418603
RB,4700.0,11.17752808988764
RB,4800.0,9.698684210526318
RB,4900.0,12.54925373134328
RB,5000.0,12.412368421052633
RB,5100.0,11.643999999999993
RB,5200.0,11.774909090909091
RB,5300.0,9.829411764705883
RB,5400.0,13.520000000000003
RB,5500.0,11.516071428571426
RB,5600.0,12.966046511627908
RB,5700.0,13.7075
RB,5800.0,15.604444444444448
RB,5900.0,14.145
RB,6000.0,13.955319148936173
RB,6100.0,12.810714285714287
RB,6200.0,14.637037037037036
RB,6300.0,16.686666666666667
RB,6400.0,14.527586206896553
RB,6500.0,15.22068965517241
RB,6600.0,12.928571428571429
RB,6700.0,16.47826086956522
RB,6800.0,20.84166666666667
RB,6900.0,15.310526315789472
RB,7000.0,14.676923076923078
RB,7100.0,16.438461538461542
RB,7200.0,16.247826086956522
RB,7300.0,18.431578947368422
RB,7400.0,19.917391304347827
RB,7500.0,19.099999999999998
RB,7600.0,17.6
RB,7700.0,20.887500000000003
RB,7800.0,20.42105263157895
RB,7900.0,22.792307692307688
RB,8000.0,19.637499999999996
RB,8100.0,21.093749999999996
RB,8200.0,21.249999999999996
RB,8300.0,21.05
RB,8400.0,16.658333333333335
RB,8500.0,20.08181818181818
RB,8600.0,20.42
RB,8700.0,27.36923076923077
RB,8800.0,22.358333333333338
RB,8900.0,19.236363636363638
RB,9000.0,22.125000000000004
RB,9100.0,28.642857142857142
RB,9200.0,27.12857142857143
RB,9300.0,25.833333333333332
RB,9400.0,20.542857142857144
RB,9500.0,22.8
RB,9600.0,23.625000000000004
RB,9800.0,20.82
RB,9900.0,20.7
RB,10000.0,35.1
RB,10100.0,35.3
RB,10300.0,24.5
RB,10500.0,28.425
TE,0.0,6.681818181818181
TE,2500.0,1.870506488070324
TE,2600.0,3.7566225165562885
TE,2700.0,4.0809523809523816
TE,2800.0,5.012142857142856
TE,2900.0,5.516058394160582
TE,3000.0,6.428799999999999
TE,3100.0,5.0986111111111105
TE,3200.0,6.770312499999999
TE,3300.0,7.840677966101694
TE,3400.0,8.225806451612906
TE,3500.0,7.307407407407408
TE,3600.0,8.110204081632652
TE,3700.0,8.72181818181818
TE,3800.0,8.91276595744681
TE,3900.0,8.788372093023256
TE,4000.0,7.833333333333333
TE,4100.0,10.412500000000003
TE,4200.0,9.7
TE,4300.0,7.975862068965517
TE,4400.0,8.736363636363636
TE,4500.0,10.184
TE,4600.0,9.575000000000001
TE,4700.0,13.015384615384615
TE,4800.0,10.386956521739132
TE,4900.0,7.776190476190477
TE,5000.0,12.709090909090905
TE,5100.0,9.010000000000002
TE,5200.0,12.660000000000002
TE,5300.0,12.225
TE,5400.0,9.290000000000001
TE,5500.0,13.22307692307692
TE,5600.0,10.284615384615384
TE,5700.0,11.825000000000001
TE,5800.0,9.471428571428572
TE,5900.0,18.522222222222222
TE,6000.0,13.77142857142857
TE,6100.0,11.654545454545454
TE,6200.0,16.3
TE,6300.0,20.7125
TE,6400.0,12.37142857142857
TE,6500.0,18.599999999999998
TE,6600.0,15.85
TE,6700.0,13.514285714285716
TE,6800.0,17.045454545454547
TE,6900.0,17.7125
TE,7000.0,14.046153846153848
TE,7100.0,16.259999999999998
TE,7200.0,12.333333333333334
TE,7300.0,18.728571428571428
TE,7400.0,13.575000000000001
WR,0.0,7.317977528089888
WR,3000.0,2.2977908441831176
WR,3100.0,3.7096638655462177
WR,3200.0,4.162878787878788
WR,3300.0,5.3160156249999995
WR,3400.0,5.12070707070707
WR,3500.0,5.626980392156863
WR,3600.0,6.935187165775403
WR,3700.0,7.504880382775122
WR,3800.0,7.749239766081875
WR,3900.0,7.872185430463577
WR,4000.0,7.9373626373626385
WR,4100.0,8.493457943925232
WR,4200.0,9.622131147540985
WR,4300.0,8.866019417475725
WR,4400.0,9.22494845360825
WR,4500.0,10.109133858267711
WR,4600.0,9.93584905660377
WR,4700.0,10.780582524271841
WR,4800.0,9.988888888888889
WR,4900.0,10.839583333333332
WR,5000.0,12.526436781609192
WR,5100.0,11.898507462686567
WR,5200.0,10.608732394366198
WR,5300.0,12.270410958904115
WR,5400.0,10.844776119402985
WR,5500.0,12.858823529411762
WR,5600.0,11.217391304347823
WR,5700.0,13.357142857142858
WR,5800.0,12.025373134328357
WR,5900.0,12.243076923076924
WR,6000.0,15.04358208955224
WR,6100.0,13.235087719298251
WR,6200.0,11.572075471698112
WR,6300.0,12.881269841269843
WR,6400.0,16.17924528301887
WR,6500.0,16.06758620689655
WR,6600.0,17.131363636363638
WR,6700.0,15.594339622641504
WR,6800.0,15.559148936170212
WR,6900.0,16.52976744186046
WR,7000.0,15.404651162790698
WR,7100.0,15.068571428571428
WR,7200.0,17.979999999999997
WR,7300.0,17.802777777777777
WR,7400.0,13.324999999999998
WR,7500.0,18.757575757575758
WR,7600.0,15.870909090909095
WR,7700.0,17.19375000000001
WR,7800.0,20.327741935483868
WR,7900.0,18.07826086956522
WR,8000.0,19.33142857142857
WR,8100.0,16.36
WR,8200.0,22.66363636363636
WR,8300.0,22.78235294117647
WR,8400.0,19.16923076923077
WR,8500.0,19.347368421052632
WR,8600.0,18.041666666666668
WR,8700.0,20.11111111111111
WR,8800.0,16.6
WR,8900.0,14.83333333333333
WR,9000.0,24.599999999999998
WR,9100.0,17.73333333333333
WR,9200.0,19.700000000000003
WR,9300.0,23.939999999999998
WR,9400.0,11.2
WR,9500.0,7.7
WR,9700.0,43.9
WR,9800.0,27.1
WR,9900.0,18.05
