,Pos,Name,Salary,TeamAbbrev,AvgPointsPerGame,Projected Points
228,WR,Dontrelle Inman,3700,WAS,8.87,8.0
229,WR,Isaiah Ford,3700,MIA,7.1,8.2
230,WR,Chris Conley,3700,JAX,5.6,6.4
231,DST,Bills ,3700,BUF,5.0,6.0
232,DST,Cardinals ,3600,ARI,6.33,6.5
233,TE,Rob Gronkowski,3600,TB,4.63,8.1
234,DST,Saints ,3500,NO,6.0,6.4
235,TE,Jack Doyle,3500,IND,3.95,5.4
236,TE,Logan Thomas,3500,WAS,9.13,9.5
237,WR,Jason Moore,3500,LAC,0.0,0.3
238,TE,Tyler Eifert,3500,JAX,5.83,7.1
239,TE,Drew Sample,3500,CIN,4.77,6.4
240,WR,Nelson Agholor,3500,LV,5.8,7.4
241,TE,Dawson Knox,3500,BUF,4.1,5.0
242,WR,Deonte Harris,3400,NO,4.17,6.4
243,WR,Ted Ginn Jr,3400,CHI,1.95,2.9
244,WR,Justin Watson,3400,TB,4.2,5.4
245,WR,Jalen Guyton,3400,LAC,5.1,6.3
246,DST,Buccaneers ,3400,TB,10.67,8.5
247,WR,David Moore,3400,SEA,7.33,5.8
248,DST,Seahawks ,3400,SEA,6.67,6.6
249,TE,Tyler Kroft,3400,BUF,6.13,3.2
250,DST,Colts ,3300,IND,15.0,6.4
251,WR,Devin Duvernay,3300,BAL,4.6,3.6
252,TE,OJ Howard,3300,TB,7.87,7.2
253,DST,Cowboys ,3300,DAL,1.0,6.3
254,TE,Kyle Rudolph,3300,MIN,4.63,5.5
255,TE,Jordan Akins,3300,HOU,9.73,6.9
256,WR,Tyler Johnson,3200,TB,0.0,2.5
257,WR,KhaDarel Hodge,3200,CLE,2.7,4.3
258,WR,Cedrick Wilson,3200,DAL,10.23,4.9
259,WR,Kenny Stills,3200,HOU,3.37,5.3
260,TE,Darren Fells,3200,HOU,4.73,5.4
261,WR,Gabriel Davis,3200,BUF,7.77,5.4
262,DST,Chiefs ,3200,KC,6.33,6.5
263,DST,Patriots ,3200,NE,10.67,5.4
264,WR,Marvin Hall,3100,DET,4.33,1.2
265,DST,Bears ,3100,CHI,6.33,5.9
266,WR,Antonio Gandy-Golden,3100,WAS,1.75,3.0
